,Team,Name,Age,Position,Nation,Market Value,Left / Joined Club,Left / Joined Country,Transfer Fee,In or Out,season
212,AIK,Christian Frealdsson,33,Goalkeeper,Sweden,0,Akropolis,Sweden,0,in,2012
213,AIK,Mohamed Bangura,23,Left Winger,Sierra Leone,0,Celtic,Scotland,loan transfer,in,2012
214,AIK,Tom Bongay,18,attack,Sierra Leone,50000,No club,No country,loan transfer,in,2012
215,AIK,Robin Palacios,20,Central Midfield,Sweden,0,Akropolis,Sweden,"End of loanAug 16, 2012",in,2012
216,AIK,Kwame Karikari,20,Centre-Forward,Ghana,200000,Degerfors,Sweden,"End of loanAug 1, 2012",in,2012
217,AIK,Sal Jobarteh,19,Central Midfield,Sweden,0,Sirius,Sweden,loan transfer,out,2012
218,AIK,Nicklas Maripuu,20,Defensive Midfield,Sweden,150000,Umeå FC,Sweden,loan transfer,out,2012
219,AIK,Robin Palacios,20,Central Midfield,Sweden,0,IK Frej Täby,Sweden,loan transfer,out,2012
220,AIK,Christian Kouakou,17,Centre-Forward,Sweden,500000,Akropolis,Sweden,loan transfer,out,2012
221,AIK,Edward Owusu,18,Defensive Midfield,Sweden,0,Akropolis,Sweden,loan transfer,out,2012
222,AIK,Pontus Engblom,20,Centre-Forward,Sweden,400000,Haugesund,Norway,0,out,2012
223,AIK,Crespo Kamara,19,Centre-Forward,Sierra Leone,125000,Örebro SK,Sweden,loan transfer,out,2012
224,Malmö FF,Matías Concha,32,Right-Back,Sweden,0,VfL Bochum,Germany,free transfer,in,2012
225,Malmö FF,Zlatan Azinovic,24,Goalkeeper,Sweden,0,Trelleborg,Sweden,free transfer,in,2012
226,Malmö FF,Tokelo Rantie,21,Centre-Forward,South Africa,200000,Stars of Africa,South Africa,loan transfer,in,2012
227,Malmö FF,David Löfquist,26,Defensive Midfield,Sweden,200000,Parma,Italy,loan transfer,in,2012
228,Malmö FF,Filip Helander,19,Centre-Back,Sweden,3500000,Malmö U19,Sweden,0,in,2012
229,Malmö FF,Rick Kruys,27,Central Midfield,Netherlands,0,FC Volendam,Netherlands,"End of loanJun 30, 2012",in,2012
230,Malmö FF,Mathias Ranégie,28,Centre-Forward,Sweden,0,Udinese Calcio,Italy,2000000,out,2012
231,Malmö FF,Jimmy Durmaz,23,Central Midfield,Sweden,600000,Genclerbirligi,Turkey,580000,out,2012
232,Malmö FF,Rick Kruys,27,Central Midfield,Netherlands,0,Excelsior,Netherlands,free transfer,out,2012
233,Malmö FF,Tobias Lewicki,19,Right Midfield,Sweden,0,Trelleborg,Sweden,loan transfer,out,2012
234,Malmö FF,Viktor Noring,21,Goalkeeper,Sweden,150000,Trelleborg,Sweden,"End of loanAug 20, 2012",out,2012
235,Helsingborgs IF,David Accam,21,Right Winger,Ghana,400000,Östersund,Sweden,500000,in,2012
236,Helsingborgs IF,Alejandro Bedoya,25,Central Midfield,United States,600000,Rangers,Scotland,free transfer,in,2012
237,Helsingborgs IF,Peter Larsson,28,Centre-Back,Sweden,0,FC Copenhagen,Denmark,free transfer,in,2012
238,Helsingborgs IF,Nikola Djurdjic,26,Centre-Forward,Serbia,425000,Haugesund,Norway,loan transfer,in,2012
239,Helsingborgs IF,Lucas Ohlander,19,Central Midfield,Sweden,200000,Östers IF,Sweden,"End of loanAug 1, 2012",in,2012
240,Helsingborgs IF,Emil Aberg,20,Centre-Forward,Sweden,0,Kristianstad,Sweden,"End of loanAug 1, 2012",in,2012
241,Helsingborgs IF,Marcus Bergholtz,22,Defensive Midfield,Sweden,150000,Östers IF,Sweden,0,out,2012
242,Helsingborgs IF,Erik Sundin,33,Centre-Forward,Sweden,0,Hammarby,Sweden,0,out,2012
243,Helsingborgs IF,Lucas Ohlander,19,Central Midfield,Sweden,200000,Brönshöj BK,Denmark,loan transfer,out,2012
244,Helsingborgs IF,Alfred Finnbogason,23,Centre-Forward,Iceland,1200000,KSC Lokeren,Belgium,"End of loanAug 1, 2012",out,2012
245,IFK Göteborg,Mattias Bjärsmyr,26,Centre-Back,Sweden,200000,Panathinaikos,Greece,free transfer,in,2012
246,IFK Göteborg,Sebastian Eriksson,23,Central Midfield,Sweden,400000,Cagliari Calcio,Italy,"End of loanJun 30, 2012",in,2012
247,IFK Göteborg,Marcus Sandberg,21,Goalkeeper,Sweden,400000,Ljungskile,Sweden,"End of loanJun 30, 2012",in,2012
248,IFK Göteborg,Nicklas Bärkroth,20,Left Winger,Sweden,400000,Leiria,Portugal,"End of loanJun 30, 2012",in,2012
249,IFK Göteborg,Sebastian Eriksson,23,Central Midfield,Sweden,400000,Cagliari Calcio,Italy,1500000,out,2012
250,IFK Göteborg,Tobias Sana,23,Left Winger,Sweden,600000,Ajax,Netherlands,320000,out,2012
