,Team,Name,Age,Position,Nation,Market Value,Left / Joined Club,Left / Joined Country,Transfer Fee,In or Out,season
156,Tromsø IL,Tom Högli,27,Centre-Back,Norway,0,Club Brugge,Belgium,1000000,out,2011
157,Tromsø IL,Dominique Taboga,28,Centre-Back,Austria,0,SV Kapfenberg,Austria,free transfer,out,2011
158,Tromsø IL,Isak Krogstad,18,Right-Back,Norway,0,Tromsdalen,Norway,0,out,2011
159,Tromsø IL,Simen Möller,22,Centre-Forward,Norway,50000,Strømmen IF,Norway,loan transfer,out,2011
160,Tromsø IL,Mohammed Ahamed,25,Second Striker,Norway,0,Sarpsborg 08,Norway,loan transfer,out,2011
161,Tromsø IL,Tore Reginiussen,25,Centre-Back,Norway,0,FC Schalke 04,Germany,"End of loanJun 30, 2011",out,2011
162,Sogndal IL,Tonny Brochmann,21,Attacking Midfield,Denmark,200000,AC Horsens,Denmark,free transfer,in,2011
163,Sogndal IL,Ruben Holsaeter,20,Left Midfield,Norway,100000,Förde,Norway,0,in,2011
164,Sogndal IL,Taijo Teniste,23,Right-Back,Estonia,150000,Levadia,Estonia,loan transfer,in,2011
165,Sogndal IL,Espen Olsen,32,Centre-Forward,Norway,0,Strømmen IF,Norway,0,out,2011
166,FK Haugesund,Andrés Már Jóhannesson,22,Right-Back,Iceland,10000,Fylkir,Iceland,100000,in,2011
167,FK Haugesund,Derek Decamps,26,Centre-Back,France,0,Ajax Cape Town,South Africa,free transfer,in,2011
168,FK Haugesund,Jacob Sörensen,28,Right Winger,Denmark,0,Vejle-Kolding,Denmark,0,out,2011
169,FK Haugesund,Thomas Sörum,28,Centre-Forward,Norway,0,Helsingborg,Sweden,0,out,2011
170,FK Haugesund,Sten Ove Eike,29,Centre-Forward,Norway,0,Sandefjord,Norway,0,out,2011
171,FK Haugesund,Tom Erik Nordberg,26,Centre-Back,Norway,0,Rosenborg,Norway,"End of loanAug 1, 2011",out,2011
172,Strømsgodset IF,Tokmac Chol Nguen,17,Left Winger,Norway,2800000,Drammen FK,Norway,0,in,2011
173,Strømsgodset IF,Lars Cramer,20,Goalkeeper,Norway,0,Asker,Norway,"End of loanAug 1, 2011",in,2011
174,Strømsgodset IF,Lars Saetra,20,Centre-Back,Norway,400000,Sandefjord,Norway,loan transfer,out,2011
175,Strømsgodset IF,André Hanssen,31,Defensive Midfield,Norway,0,No club,No country,0,out,2011
176,Strømsgodset IF,Jo Inge Berget,20,Right Winger,Norway,900000,Udinese U19,Italy,"End of loanJun 30, 2011",out,2011
177,Fredrikstad FK,Dave Myrie,23,Right-Back,Costa Rica,200000,Limón FC,Costa Rica,0,in,2011
178,Fredrikstad FK,Kevin Duré,18,Centre-Back,Norway,0,Løv-Ham,Norway,0,in,2011
179,Fredrikstad FK,Andreas Landgren,22,Right-Back,Sweden,150000,Udinese Calcio,Italy,loan transfer,in,2011
180,Fredrikstad FK,James Keene,25,Centre-Forward,England,100000,Elfsborg,Sweden,loan transfer,in,2011
181,Fredrikstad FK,Arnold Origi,27,Goalkeeper,Kenya,0,Moss FK,Norway,loan transfer,in,2011
182,Fredrikstad FK,Cristian Gamboa,21,Right-Back,Costa Rica,700000,FC Copenhagen,Denmark,50000,out,2011
183,Fredrikstad FK,Leblance Ndombe,20,attack,Norway,0,Moss FK,Norway,free transfer,out,2011
184,Fredrikstad FK,Raio Piiroja,32,Centre-Back,Estonia,0,Vitesse,Netherlands,0,out,2011
185,Fredrikstad FK,Martin Elvestad,22,Right Midfield,Norway,0,Kvik Halden,Norway,0,out,2011
186,Fredrikstad FK,Lalawélé Atakora,20,Left Winger,Togo,300000,AIK,Sweden,loan transfer,out,2011
187,Aalesunds FK,Jo Nymo Matland,24,Left-Back,Norway,50000,Sarpsborg 08,Norway,0,in,2011
188,Aalesunds FK,Jonathan Parr,22,Left-Back,Norway,100000,Crystal Palace,England,0,out,2011
189,Aalesunds FK,Mathias Rasmussen,19,Goalkeeper,Norway,50000,SK Herd,Norway,loan transfer,out,2011
190,Sandnes Ulf,Ingimundur Níels Óskarsson,25,Left Winger,Iceland,0,Fylkir,Iceland,loan transfer,in,2011
191,Vålerenga Fotball,Torgeir Börven,20,Centre-Forward,Norway,1000000,Odds BK,Norway,500000,in,2012
192,Vålerenga Fotball,Tosaint Ricketts,25,Centre-Forward,Canada,200000,Poli. Timisoara,Romania,free transfer,in,2012
193,Vålerenga Fotball,Giancarlo González,24,Centre-Back,Costa Rica,500000,LD Alajuelense,Costa Rica,free transfer,in,2012
194,Vålerenga Fotball,Öyvind Knutsen,18,Goalkeeper,Norway,100000,Tönsberg,Norway,0,in,2012
195,Vålerenga Fotball,Aaron Olanare,18,Centre-Forward,Nigeria,450000,Dolphin FC,Nigeria,0,in,2012
196,Vålerenga Fotball,Pape Maly Diamanka,22,Defensive Midfield,Senegal,400000,Rayo Vallecano,Spain,loan transfer,in,2012
197,Vålerenga Fotball,Chad Barrett,27,Centre-Forward,United States,0,LA Galaxy,United States,loan transfer,in,2012
198,Vålerenga Fotball,Riki Alba,18,Left Winger,Norway,150000,Vålerenga U19,Norway,0,in,2012
199,Vålerenga Fotball,Benjamin Hagen,24,Left-Back,Norway,0,Fredrikstad,Norway,"End of loanJul 31, 2012",in,2012
200,Vålerenga Fotball,Chuma Anene,19,Centre-Forward,Norway,200000,Ullensaker/Kisa,Norway,"End of loanJul 31, 2012",in,2012
201,Vålerenga Fotball,Havard Nielsen,19,Centre-Forward,Norway,1200000,RB Salzburg,Austria,2800000,out,2012
202,Vålerenga Fotball,Harmeet Singh,21,Central Midfield,Norway,200000,Feyenoord,Netherlands,600000,out,2012
203,Vålerenga Fotball,Veigar Páll Gunnarsson,32,Second Striker,Iceland,0,Stabæk Fotball,Norway,free transfer,out,2012
204,Vålerenga Fotball,Martin Pusic,24,Centre-Forward,Austria,225000,Fredrikstad,Norway,free transfer,out,2012
205,Vålerenga Fotball,Sidoine Oussou,19,Centre-Forward,Benin,0,CS Visé,Belgium,loan transfer,out,2012
206,Vålerenga Fotball,Dawda Leigh,26,Right Midfield,Norway,0,Sandefjord,Norway,0,out,2012
207,Vålerenga Fotball,Ibba Laajab,27,Centre-Forward,Norway,250000,Stabæk Fotball,Norway,loan transfer,out,2012
208,Vålerenga Fotball,Marcus Pedersen,22,Centre-Forward,Norway,225000,Vitesse,Netherlands,"End of loanJul 31, 2012",out,2012
209,Rosenborg BK,Tore Reginiussen,26,Centre-Back,Norway,0,Odense BK,Denmark,1100000,in,2012
210,Rosenborg BK,Tarik Elyounoussi,24,Centre-Forward,Norway,700000,Fredrikstad,Norway,1100000,in,2012
211,Rosenborg BK,Mix Diskerud,21,Central Midfield,United States,600000,Stabæk Fotball,Norway,0,in,2012
212,Rosenborg BK,Alexander Lund Hansen,29,Goalkeeper,Norway,0,IK Start,Norway,0,in,2012
213,Rosenborg BK,Cristian Gamboa,22,Right-Back,Costa Rica,700000,FC Copenhagen,Denmark,loan transfer,in,2012
214,Rosenborg BK,Gjermund Asen,21,Central Midfield,Norway,400000,Ranheim IL,Norway,"End of loanJul 1, 2012",in,2012
215,Rosenborg BK,Daniel Berntsen,19,Left Midfield,Norway,200000,Fredrikstad,Norway,"End of loanJun 1, 2012",in,2012
216,Rosenborg BK,Jim Larsen,26,Centre-Back,Denmark,0,Club Brugge,Belgium,2500000,out,2012
217,Rosenborg BK,Markus Henriksen,20,Central Midfield,Norway,1300000,AZ Alkmaar,Netherlands,2000000,out,2012
218,Rosenborg BK,Peter Ankersen,21,Right-Back,Denmark,1500000,Esbjerg fB,Denmark,free transfer,out,2012
219,Rosenborg BK,Gjermund Asen,21,Central Midfield,Norway,400000,Ranheim IL,Norway,0,out,2012
220,Rosenborg BK,Simen Wangberg,21,Centre-Back,Norway,200000,Brann,Norway,0,out,2012
221,Rosenborg BK,Daniel Berntsen,19,Left Midfield,Norway,200000,Bodø/Glimt,Norway,loan transfer,out,2012
222,Rosenborg BK,Fredrik Midtsjö,19,Central Midfield,Norway,10000000,Ranheim IL,Norway,loan transfer,out,2012
223,Viking Stavanger,Makhtar Thioune,27,Central Midfield,Senegal,150000,Molde,Norway,300000,in,2012
224,Viking Stavanger,Pal Vestly Heigre,17,Goalkeeper,Norway,150000,Viking FK U19,Norway,0,in,2012
225,Viking Stavanger,Valon Berisha,19,Central Midfield,Kosovo,3500000,RB Salzburg,Austria,2800000,out,2012
226,Viking Stavanger,Arild Östbö,21,Goalkeeper,Norway,300000,IK Start,Norway,loan transfer,out,2012
227,Viking Stavanger,Jóan Símun Edmundsson,21,Second Striker,Faroe Islands,500000,FC Fredericia,Denmark,loan transfer,out,2012
228,Viking Stavanger,Nery Cardozo,23,Centre-Forward,Paraguay,0,Rubio Ñú,Paraguay,"End of loanJul 31, 2012",out,2012
229,Viking Stavanger,Henrik Breimyr,19,Centre-Back,Norway,50000,Aldershot,England,"End of loanAug 3, 2012",out,2012
